paper;sample;variable;group;nClusters;n;mean;sd;SE;decimalM;decimalSD;pReported;discreteItemsCount;nPerCellAssumed;notes
1;1;1;1;;61;1.69;0.8;;2;2;0.2;1;0;
1;1;1;2;;74;1.7;0.86;;2;2;0.2;1;0;
1;1;1;3;;70;1.75;0.76;;2;2;0.2;1;0;
8;1;1;1;;32;9.11;1.42;;2;2;0.69;;0;
8;1;1;2;;32;9.36;1.32;;2;2;0.69;;0;
8;1;1;3;;32;9.19;1.27;;2;2;0.69;;0;
9;1;1;1;;30;9.9;1.2;;1;1;;;;
9;1;1;2;;32;9.8;1.4;;1;1;;;;
9;1;2;1;;30;56.6;2.7;;1;1;;;;
9;1;2;2;;32;56.2;2.9;;1;1;;;;
9;1;3;1;;30;126.8;17.2;;1;1;;;;
9;1;3;2;;32;125.6;24.3;;1;1;;;;
9;1;4;1;;30;3.3;1;;1;0;;;;
9;1;4;2;;32;3.2;1;;1;0;;;;
9;1;5;1;;30;65;13.2;;1;1;;;;
9;1;5;2;;32;64.9;15.1;;1;1;;;;
9;1;6;1;;30;11.5;6;;1;1;;;;
9;1;6;2;;32;11.4;6.2;;1;1;;;;
9;1;7;1;;30;11.4;2.7;;1;1;;;;
9;1;7;2;;32;12.1;5.1;;1;1;;;;
9;1;8;1;;30;4.8;3.5;;1;1;;;;
9;1;8;2;;32;4;2.6;;1;1;;;;
9;1;9;1;;30;1.5;0.2;;1;1;;;;
9;1;9;2;;32;1.4;0.1;;1;1;;;;
9;1;10;1;;30;3.7;1.6;;1;1;;;;
9;1;10;2;;32;4.2;1.9;;1;1;;;;
9;1;11;1;;30;7;1.6;;1;1;;;;
9;1;11;2;;32;7;1.6;;1;1;;;;
11;1;1;1;;220;15.9;0.6;;1;1;;;;
11;1;1;2;;241;15.8;0.7;;1;1;;;;
11;1;2;1;;214;10.1;0.3;;1;1;;1;;
11;1;2;2;;240;10.1;0.4;;1;1;;1;;
11;1;3;1;;219;2.16;0.7;;2;2;;9;;
11;1;3;2;;239;2.21;0.73;;2;2;;9;;
11;1;4;1;;219;2.65;0.73;;2;2;;9;;
11;1;4;2;;239;2.52;0.74;;2;2;;9;;
11;1;5;1;;219;2;0.64;;2;2;;9;;
11;1;5;2;;239;2.09;0.69;;2;2;;9;;
11;1;6;1;;218;1.81;0.69;;2;2;;6;;
11;1;6;2;;238;1.8;0.67;;2;2;;6;;
14;1;1;1;;123;32.64;10.23;;2;2;0.993;;0;
14;1;1;2;;134;32.75;10.47;;2;2;0.993;;0;
14;1;1;3;;153;32.79;11.4;;2;2;0.993;;0;
14;1;2;1;;123;24.49;7.62;;2;2;0.558;10;0;
14;1;2;2;;134;23.9;7.89;;2;2;0.558;10;0;
14;1;2;3;;153;23.46;7.91;;2;2;0.558;10;0;
14;1;3;1;;123;23.82;7.15;;2;2;0.338;10;0;
14;1;3;2;;134;29.26;7.75;;2;2;0.338;10;0;
14;1;3;3;;153;29.63;7.46;;2;2;0.338;10;0;
14;1;4;1;;123;40.07;7.91;;2;2;0.865;20;;
14;1;4;2;;134;40.57;7.51;;2;2;0.865;20;;
14;1;4;3;;153;40.2;7.96;;2;2;0.865;20;;
14;1;5;1;;123;18.07;5.35;;2;2;0.534;4;;
14;1;5;2;;134;18.51;5.46;;2;2;0.534;4;;
14;1;5;3;;153;18.83;5.85;;2;2;0.534;4;;
14;1;6;1;;123;21.02;7.08;;2;2;0.422;5;;
14;1;6;2;;134;22.02;7.67;;2;2;0.422;5;;
14;1;6;3;;153;22.12;7.63;;2;2;0.422;5;;
21;1;1;1;;202;2.29;1.22;;2;2;;;1;
21;1;1;2;;202;2.25;1.37;;2;2;;;1;
21;1;2;1;;202;1.51;0.5;;2;2;;;1;
21;1;2;2;;202;1.5;0.5;;2;2;;;1;
21;1;3;1;;202;3.89;0.38;;2;2;;;1;
21;1;3;2;;202;3.83;0.36;;2;2;;;1;
21;1;4;1;;202;2.42;0.67;;2;2;;;1;
21;1;4;2;;202;2.48;0.65;;2;2;;;1;
21;1;5;1;;202;1.58;1.05;;2;2;;;1;
21;1;5;2;;202;1.55;1.14;;2;2;;;1;
21;1;6;1;;202;3.63;0.59;;2;2;;;1;
21;1;6;2;;202;3.59;0.69;;2;2;;;1;
21;1;7;1;;202;3.46;0.55;;2;2;;;1;
21;1;7;2;;202;3.44;0.54;;2;2;;;1;
21;1;8;1;;202;0.33;0.47;;2;2;;;1;
21;1;8;2;;202;0.3;0.46;;2;2;;;1;
21;1;9;1;;202;0.17;0.38;;2;2;;;1;
21;1;9;2;;202;0.1;0.3;;2;2;;;1;
21;1;10;1;;202;0.47;0.5;;2;2;;;1;
21;1;10;2;;202;0.35;0.48;;2;2;;;1;
21;1;11;1;;202;4.22;2.73;;2;2;;;1;
21;1;11;2;;202;4.9;2.95;;2;2;;;1;
21;2;1;1;;202;1.94;1.31;;2;2;;;1;
21;2;1;2;;202;2.11;1.29;;2;2;;;1;
21;2;2;1;;202;2.11;1.24;;2;2;;;1;
21;2;2;2;;202;1.9;1.28;;2;2;;;1;
21;2;3;1;;202;3.39;0.63;;2;2;;;1;
21;2;3;2;;202;3.45;0.61;;2;2;;;1;
24;1;1;1;;31;11.87;0.96;;2;2;0.86;;;
24;1;1;2;;36;11.83;0.81;;2;2;0.86;;;
24;2;1;1;;31;36.03;5.94;;2;2;0.8;;;
24;2;1;2;;36;36.43;6.43;;2;2;0.8;;;
24;1;2;1;;31;4.17;0.85;;2;2;;10;;
24;1;2;2;;36;3.9;0.98;;2;2;;10;;
24;1;3;1;;31;4.17;1.2;;2;2;;6;;
24;1;3;2;;36;4.1;1.14;;2;2;;6;;
24;1;4;1;;31;4.76;0.64;;2;2;;5;;
24;1;4;2;;36;4.48;0.77;;2;2;;5;;
24;1;5;1;;31;4.1;1.18;;2;2;;6;;
24;1;5;2;;36;3.94;1.26;;2;0;;6;;
24;1;6;1;;31;3.87;0.44;;2;2;;2;;
24;1;6;2;;36;3.58;0.81;;2;2;;2;;
24;1;7;1;;31;0.37;0.91;;2;2;;;;
24;1;7;2;;36;0.53;2.19;;2;2;;;;
24;1;8;1;;31;2.86;1.66;;2;2;;;;
24;1;8;2;;36;2.39;1.17;;2;2;;;;
24;1;9;1;;31;2.31;0.91;;2;2;;;;
24;1;9;2;;36;2.28;0.9;;2;2;;;;
24;1;10;1;;31;2.29;0.62;;2;2;;12;;
24;1;10;2;;36;2.17;0.65;;2;2;;12;;
24;2;1;1;;31;4.8;0.93;;2;2;;10;;
24;2;1;2;;36;5;0;;2;2;;10;;
24;2;2;1;;31;3.67;0.8;;2;2;;6;;
24;2;2;2;;36;3.58;1.06;;2;2;;6;;
24;2;3;1;;31;4.7;0.65;;2;2;;5;;
24;2;3;2;;36;4.42;1.03;;2;2;;5;;
24;2;4;1;;31;3.66;5.82;;2;2;;1;;
24;2;4;2;;36;2.74;5.67;;2;2;;1;;
24;2;5;1;;31;4.55;14.46;;2;2;;1;;
24;2;5;2;;36;1.32;5.33;;2;2;;1;;
29;1;1;1;;27;73.52;11;;2;2;;NA;;
29;1;1;2;;26;74.65;12.52;;2;2;;NA;;
29;1;2;1;;27;74.88;10.44;;2;2;;NA;;
29;1;2;2;;26;76.65;12.79;;2;2;;NA;;
29;1;3;1;;27;65.82;8.81;;2;2;;NA;;
29;1;3;2;;26;68.96;9.93;;2;2;;NA;;
29;1;4;1;;27;4.39;3.68;;2;2;;5;;
29;1;4;2;;26;2.59;3.18;;2;2;;5;;
29;1;5;1;;27;77.4;11.28;;2;2;;NA;;
29;1;5;2;;26;79.31;10.72;;2;2;;NA;;
29;1;6;1;;27;77.05;8.97;;2;2;;NA;;
29;1;6;2;;26;79.78;10.5;;3;2;;NA;;
29;1;7;1;;27;61.89;13.59;;2;2;;NA;;
29;1;7;2;;26;63.62;12.51;;2;2;;NA;;
29;1;8;1;;27;66.43;12.98;;2;2;;NA;;
29;1;8;2;;26;66.3;14.71;;2;2;;NA;;
29;1;9;1;;27;1.56;1.5;;2;2;;5;;
29;1;9;2;;26;1.47;1.62;;2;2;;5;;
29;1;0;1;;27;7.88;4.08;;2;2;;NA;;
29;1;10;2;;26;9.81;2.95;;2;2;;NA;;
29;1;11;1;;27;3.31;0.99;;2;2;;NA;;
29;1;11;2;;26;3.45;0.7;;2;2;;NA;;
29;1;12;1;;27;3.49;0.86;;2;2;;NA;;
29;1;12;2;;26;3.75;0.94;;2;2;;NA;;
29;1;13;1;;27;2.84;0.82;;2;2;;NA;;
29;1;13;2;;26;2.9;0.88;;2;2;;NA;;
29;1;14;1;;27;57.66;8.17;;2;2;;7;;
29;1;14;2;;26;58.96;10.14;;2;2;;7;;
29;1;15;1;;27;4.14;5.25;;2;2;;7;;
29;1;15;2;;26;4.85;5.19;;2;2;;7;;
29;1;16;1;;27;17.37;8.65;;2;2;;7;;
29;1;16;2;;26;14.62;9.58;;2;2;;7;;
29;1;17;1;;27;8.44;7.26;;2;2;;7;;
29;1;17;2;;26;7.92;7.99;;2;2;;7;;
29;1;18;1;;27;21.19;5.85;;2;2;;NA;;
29;1;18;2;;26;21.69;6.31;;2;2;;NA;;
29;1;19;1;;27;22.15;4.58;;2;2;;NA;;
29;1;19;2;;26;25.16;4.49;;2;2;;NA;;
30;1;1;1;;228;56.3;5.8;;1;1;0.831;;;
30;1;1;2;;148;56.4;6;;1;1;0.831;;;
30;1;2;1;;228;5.1;1.7;;1;1;0.307;1;;
30;1;2;2;;148;5.3;1.7;;1;1;0.307;1;;
30;1;3;1;;228;35.76;6.77;;2;2;;;;
30;1;3;2;;148;35.46;6.89;;2;2;;;;
30;1;4;1;;228;29.99;6.22;;2;2;;;;
30;1;4;2;;148;28.97;7.5;;2;2;;;;
30;1;5;1;;228;32.57;8.29;;2;2;;;;
30;1;5;2;;148;33.32;8.41;;2;2;;;;
30;1;6;1;;228;23.78;3.5;;2;2;;;;
30;1;6;2;;148;23.26;3.48;;2;2;;;;
30;1;7;1;;228;104.49;17.91;;2;2;;;;
30;1;7;2;;148;103.11;19.35;;2;2;;;;
30;1;8;1;;228;66.15;11.36;;2;2;;;;
30;1;8;2;;148;63.76;11.98;;2;2;;;;
30;1;9;1;;228;53.29;11.8;;2;1;;;;
30;1;9;2;;148;55.33;9.83;;2;2;;;;
30;1;10;1;;228;11.87;2.91;;2;2;;;;
30;1;10;2;;148;12.34;2.4;;2;2;;;;
30;1;11;1;;228;14.86;0.48;;2;2;;;;
30;1;11;2;;148;14.87;0.42;;2;2;;;;
30;1;12;1;;228;37.28;13.82;;2;2;;;;
30;1;12;2;;148;36.11;12.25;;2;2;;;;
30;1;13;1;;228;64.28;27.25;;2;2;;;;
30;1;13;2;;148;64.34;29.3;;2;2;;;;
30;1;14;1;;228;41.18;6.24;;2;2;;;;
30;1;14;2;;148;41.4;6.05;;2;2;;;;
30;1;15;1;;228;5.04;6.54;;2;2;;7;;
30;1;15;2;;148;4.31;5.45;;2;2;;7;;
30;1;16;1;;228;3.32;4.74;;2;2;;7;;
30;1;16;2;;148;3.24;4.44;;2;2;;7;;
30;1;17;1;;228;7.6;6.88;;2;2;;7;;
30;1;17;2;;148;7.3;6.07;;2;2;;7;;
30;1;18;1;;228;25.34;6.18;;2;2;;5;;
30;1;18;2;;148;26.22;5.43;;2;2;;5;;
30;1;19;1;;228;75.51;15.37;;2;2;;NA;;
30;1;19;2;;148;74.16;17.05;;2;2;;NA;;
30;1;20;1;;228;2.94;3.21;;2;2;;11;;
30;1;20;2;;148;2.8;3.07;;2;2;;11;;
30;1;21;1;;228;24.16;26.69;;2;2;;;;
30;1;21;2;;148;27.52;28.23;;2;2;;;;
30;1;22;1;;228;61.38;10.67;;2;2;;;;
30;1;22;2;;148;60.98;10.22;;2;2;;;;
30;1;23;1;;228;58.74;9.5;;2;2;;;;
30;1;23;2;;148;57.64;10.51;;2;2;;;;
31;1;1;1;;13;53.18;8.02;;2;2;;NA;;
31;1;1;2;;12;50.25;5.63;;2;2;;NA;;
31;1;1;3;;12;55.67;52.58;;2;2;;NA;;
31;1;2;1;;13;47.27;7.04;;2;2;;NA;;
31;1;2;2;;12;53;6.15;;2;2;;NA;;
31;1;2;3;;12;52.18;7.41;;2;2;;NA;;
31;1;3;1;;13;2.39;1.02;;2;2;;NA;;
31;1;3;2;;12;2.69;0.98;;2;2;;NA;;
31;1;3;3;;12;3.5;0.86;;2;2;;NA;;
31;1;4;1;;13;2.83;0.73;;2;2;;NA;;
31;1;4;2;;12;2.78;0.28;;2;2;;NA;;
31;1;4;3;;12;3.21;0.67;;2;2;;NA;;
31;1;5;1;;13;21.22;4.56;;2;2;;NA;;
31;1;5;2;;12;18.64;4.76;;2;2;;NA;;
31;1;5;3;;12;19.98;5.36;;2;2;;NA;;
31;1;6;1;;13;46.13;7.08;;2;2;;10;;
31;1;6;2;;12;46.88;10.5;;2;2;;10;;
31;1;6;3;;12;48.67;14.29;;2;2;;10;;
31;1;7;1;;13;2.21;1.79;;2;2;;NA;;
31;1;7;2;;12;2.06;1.38;;2;2;;NA;;
31;1;7;3;;12;1.98;1.11;;2;2;;NA;;
31;1;8;1;;13;67.74;6.26;;2;2;;NA;;
31;1;8;2;;12;70.3;4.4;;2;2;;NA;;
31;1;8;3;;12;72.73;5.64;;2;2;;NA;;
31;1;9;1;;13;61.4;7.72;;2;2;;NA;;
31;1;9;2;;12;67.6;6.3;;2;2;;NA;;
31;1;9;3;;12;68.02;4.19;;2;2;;NA;;
31;1;10;1;;13;61.54;12.55;;2;2;;NA;;
31;1;10;2;;12;63.9;8.53;;2;2;;NA;;
31;1;10;3;;12;57.46;10.84;;2;2;;NA;;
34;1;1;1;;12;8.58;5.58;;2;2;;;;
34;1;1;2;;13;9.46;5.9;;2;2;;;;
34;1;2;1;;12;1.92;0.79;;2;2;;;;
34;1;2;2;;13;2;1;;2;2;;;;
34;1;3;1;;12;15.89;0.71;;2;2;;;;
34;1;3;2;;13;16.04;0.69;;2;2;;;;
34;1;4;1;;12;39.33;4.92;;2;2;;;;
34;1;4;2;;13;39.69;4.03;;2;2;;;;
34;1;5;1;;12;25.08;3.53;;2;2;;10;;
34;1;5;2;;13;24.23;3.66;;2;2;;10;;
34;1;6;1;;12;59;11.52;;2;2;;12;;
34;1;6;2;;13;60.23;8.71;;2;2;;12;;
34;1;7;1;;12;53.25;4.81;;2;2;;30;;
34;1;7;2;;13;55.69;3.33;;2;2;;30;;
34;1;8;1;;12;91.58;8.46;;2;2;;35;;
34;1;8;2;;13;91.92;17.03;;2;2;;35;;
41;1;1;1;;140;87.69;11.36;;2;2;;36;;
41;1;1;2;;69;88.98;13.3;;2;2;;36;;
41;1;2;1;;140;29.43;5.76;;2;2;;;;
41;1;2;2;;69;28.84;4.49;;2;2;;;;
41;1;3;1;;140;4.48;0.64;;2;2;;18;;
41;1;3;2;;69;4.38;0.59;;2;2;;18;;
41;2;1;1;;140;2.22;0.39;;2;2;;24;;
41;2;1;2;;69;2.18;0.38;;2;2;;24;;
41;2;2;1;;140;2.15;0.59;;2;2;;9;;
41;2;2;2;;69;2.1;0.64;;2;2;;9;;
41;2;3;1;;140;2.43;0.4;;2;2;;NA;;
41;2;3;2;;69;2.37;0.42;;2;2;;NA;;
41;2;4;1;;140;4.1;0.38;;2;2;;NA;;
41;2;4;2;;69;4.02;0.37;;2;2;;NA;;
43;1;1;1;;64;8.8;2;;1;1;<0.05;NA;;
43;1;1;2;;71;8.1;1.6;;1;1;<0.05;NA;;
43;1;1;3;;156;8.8;2;;1;1;<0.05;NA;;
43;1;2;1;;64;69;11;;0;0;;134;;
43;1;2;2;;71;66;9;;0;0;;134;;
43;1;2;3;;156;70;9;;0;0;;134;;
43;1;3;1;;64;67;12;;0;0;;NA;;
43;1;3;2;;71;66;9;;0;0;;NA;;
43;1;3;3;;156;70;9;;0;0;;NA;;
43;1;4;1;;64;64;11;;0;0;;NA;;
43;1;4;2;;71;61;11;;0;0;;NA;;
43;1;4;3;;156;64;10;;0;0;;NA;;
43;1;5;1;;64;20;17;;0;0;;35;;
43;1;5;2;;71;19;13;;0;0;;35;;
43;1;5;3;;156;NA;NA;;0;0;;;;
43;1;6;1;;64;4.7;1.4;;1;1;;1;;
43;1;6;2;;71;4.6;1.5;;1;1;;1;;
43;1;6;3;;156;NA;NA;;0;0;;;;
47;1;1;1;;442;1.84;;0.05;2;0;0.66;1;;
47;1;1;2;;435;1.81;;0.05;2;0;0.66;1;;
47;1;2;1;;442;44;;0.4;1;0;0.11;7;;
47;1;2;2;;435;44.9;;0.4;1;0;0.11;7;;
47;1;3;1;;442;32.1;;0.6;1;0;0.82;17;;
47;1;3;2;;435;31.9;;0.6;1;0;0.82;17;;
47;1;4;1;;442;15.2;;0.4;1;0;0.72;6;;
47;1;4;2;;435;15.4;;0.4;1;0;0.72;6;;
61;1;1;1;;54;33.3;11.01;;2;0;;NA;;
61;1;1;2;;55;35.78;9.86;;2;2;;NA;;
61;1;2;1;;54;11.44;1.54;;2;2;;1;;
61;1;2;2;;55;11.18;1.66;;2;2;;1;;
61;1;3;1;;54;104.09;13.98;;2;2;;NA;;
61;1;3;2;;55;101.26;13.64;;2;2;;NA;;
61;1;4;1;;54;14.87;10.08;;2;2;;1;;
61;1;4;2;;55;18.05;11.14;;2;2;;1;;
61;1;5;1;;54;18.43;9.05;;2;2;;1;;
61;1;5;2;;55;17.73;10;;2;1;;1;;
61;1;6;1;;54;2.28;1.99;;2;0;;1;;
61;1;6;2;;55;2.38;2.16;;2;2;;1;;
61;1;7;1;;54;25;46;;0;1;;1;;
61;1;7;2;;55;31;54;;0;1;;1;;
61;1;8;1;;33;24.52;18.63;;2;2;;1;;
61;1;8;2;;29;21.34;21.14;;2;2;;1;;
61;1;9;1;;54;24.33;5.33;;2;2;0.73;NA;;
61;1;9;2;;55;24.67;4.88;;2;2;0.73;NA;;
61;1;10;1;;54;12.85;2.62;;2;2;0.745;5;;
61;1;10;2;;55;12.69;2.52;;2;2;0.745;5;;
61;1;11;1;;54;11.48;4.15;;2;2;0.496;5;;
61;1;11;2;;55;11.98;3.48;;2;2;0.496;5;;
61;1;12;1;;54;2.3;0.96;;2;2;0.669;1;;
61;1;12;2;;55;2.22;0.94;;2;2;0.669;1;;
61;1;13;1;;53;26.46;11.27;;2;2;0.028;NA;;
61;1;13;2;;52;31.61;12.41;;2;2;0.028;NA;;
61;1;14;1;;53;12.87;6.43;;2;2;0.661;NA;;
61;1;14;2;;55;13.43;6.28;;2;2;0.661;NA;;
63;1;1;1;;47;8;4.89;;2;2;;8;;
63;1;1;2;;48;6.78;4.94;;2;2;;8;;
63;1;2;1;;47;7.84;5.34;;2;2;;8;;
63;1;2;2;;48;6.87;4.94;;2;2;;8;;
63;1;3;1;;47;9.46;5.19;;2;2;;8;;
63;1;3;2;;48;9.22;5.71;;2;2;;8;;
63;1;4;1;;47;15.19;6.17;;2;2;;8;;
63;1;4;2;;48;12.96;6.59;;2;2;;8;;
63;1;5;1;;47;17.6;7.6;;2;2;;8;;
63;1;5;2;;48;15.84;7.23;;2;2;;8;;
63;1;6;1;;47;15.6;7.42;;2;2;;8;;
63;1;6;2;;48;15.22;5.84;;2;2;;8;;
63;1;7;1;;47;17.35;6.29;;2;2;;8;;
63;1;7;2;;48;14.95;5.71;;2;2;;8;;
63;1;8;1;;47;9.56;5.51;;2;2;;8;;
63;1;8;2;;48;9.36;5.09;;2;2;;8;;
63;1;9;1;;47;100.82;34.45;;2;2;;64;;
63;1;9;2;;48;91.39;29.46;;2;2;;64;;
64;1;1;1;;20;37.55;3.56;;2;2;;NA;;
64;1;1;2;;20;38.45;3.99;;2;2;;NA;;
64;1;1;3;;20;38.05;3.23;;2;2;;NA;;
68;1;1;1;;114;6.85;;0.55;2;0;;14;;
68;1;1;2;;99;6.41;;0.57;2;0;;14;;
68;1;2;1;;114;69.74;;1.71;2;0;;36;;
68;1;2;2;;99;69.76;;1.87;2;0;;36;;
68;1;3;1;;114;2.04;;0.04;2;0;;45;;
68;1;3;2;;99;2.05;;0.04;2;0;;45;;
68;1;4;1;;113;2.18;;0.04;2;0;;45;;
68;1;4;2;;99;2.17;;0.04;2;0;;45;;
68;1;5;1;;114;15.18;;0.84;2;0;;NA;;
68;1;5;2;;99;14.18;;0.92;2;0;;NA;;
68;1;6;1;;113;21.63;;1.35;2;0;;NA;;
68;1;6;2;;99;23.49;;1.45;2;0;;NA;;
68;1;7;1;;114;10.75;;0.46;2;0;;10;;
68;1;7;2;;99;8.05;;0.51;2;0;;10;;
68;1;8;1;;113;1.99;;0.27;2;0;;17;;
68;1;8;2;;99;2.02;;0.29;2;0;;17;;
73;1;1;1;;90;25.8;11.7;;2;2;0.799;NA;;
73;1;1;2;;86;26.81;12.76;;2;2;0.799;NA;;
73;1;1;3;;90;25.76;10.94;;2;2;0.799;NA;;
73;1;2;1;;90;61.99;22.03;;2;2;0.283;58;;
73;1;2;2;;86;65.58;23.71;;2;2;0.283;58;;
73;1;2;3;;90;61.45;22.98;;2;2;0.283;58;;
76;1;1;1;;1049;29.4;19.4;;1;1;;17;;
76;1;1;2;;1072;28.3;18.2;;1;1;;17;;
79;1;1;1;;148;51.4;12.9;;1;1;0.095;NA;;
79;1;1;2;;150;48.9;13.5;;1;1;0.095;NA;;
79;1;2;1;;148;13;1.8;;1;1;0.329;1;;
79;1;2;2;;150;13.3;1.9;;1;1;0.329;1;;
79;1;3;1;;148;7;14.3;;1;1;0.533;1;;
79;1;3;2;;150;8.6;15.8;;1;1;0.533;1;;
79;1;4;1;;148;0.564;0.29;;3;3;0.966;NA;;
79;1;4;2;;150;0.565;0.29;;3;3;0.966;NA;;
79;1;5;1;;148;0.134;0.151;;3;3;0.613;NA;;
79;1;5;2;;150;0.125;0.157;;3;3;0.613;NA;;
79;1;6;1;;148;0.479;0.226;;3;3;0.4;NA;;
79;1;6;2;;150;0.49;0.236;;3;3;0.4;NA;;
79;1;7;1;;148;16;10.7;;1;1;0.612;1;;
79;1;7;2;;150;15.3;10.8;;1;1;0.612;1;;
79;1;8;1;;148;5.1;11;;1;1;0.671;1;;
79;1;8;2;;150;5.6;11.7;;1;1;0.671;1;;
79;1;9;1;;148;7.2;3.1;;1;1;0.641;3;;
79;1;9;2;;150;7;2.9;;1;1;0.641;3;;
79;1;10;1;;148;15;4.6;;1;1;0.257;6;;
79;1;10;2;;150;15.6;4.3;;1;1;0.257;6;;
79;1;11;1;;148;62.1;29;;1;1;0.247;8;;
79;1;11;2;;150;58.4;26.7;;1;1;0.247;8;;
81;1;1;1;;37;11.8;2.14;;1;2;;NA;;
81;1;1;2;;38;12.2;2.19;;1;2;;NA;;
81;1;2;1;;37;33.5;7.7;;1;1;>0.05;18;;
81;1;2;2;;38;32.4;8;;1;1;>0.05;18;;
81;1;3;1;;37;19.8;3.2;;1;1;>0.05;NA;;
81;1;3;2;;38;19.5;3.1;;1;1;>0.05;NA;;
81;1;4;1;;37;14.2;7.3;;1;1;>0.05;NA;;
81;1;4;2;;38;12.5;6.9;;1;1;>0.05;NA;;
87;1;1;1;;20;122.85;;1.039;2;0;>0.05;35;;seemingly wrongly denoted SE as SD
87;1;1;2;;20;121.8;;1.05;2;0;>0.05;35;;seemingly wrongly denoted SE as SD
87;1;1;3;;20;122.35;;1.75;2;0;>0.05;35;;seemingly wrongly denoted SE as SD
90;1;1;1;;42;22.5;2.1;;1;1;0.814;NA;;
90;1;1;2;;42;22.4;2.5;;1;1;0.814;NA;;
90;1;2;1;;42;29.7;2.9;;1;1;0.699;NA;;
90;1;2;2;;42;30;3.8;;1;1;0.699;NA;;
90;1;3;1;;42;26.6;3.7;;1;1;0.548;NA;;
90;1;3;2;;42;26;4.2;;1;1;0.548;NA;;
90;1;4;1;;42;15.7;2.4;;1;1;1;NA;;
90;1;4;2;;42;15.7;3;;1;1;1;NA;;
90;1;5;1;;42;843.5;683.2;;1;1;0.66;NA;;
90;1;5;2;;42;758.3;649.7;;1;1;0.66;NA;;
90;1;6;1;;42;491.4;338.3;;1;1;0.227;NA;;
90;1;6;2;;42;592.8;421.7;;1;1;0.227;NA;;
90;1;7;1;;42;437.6;356.2;;1;1;0.193;NA;;
90;1;7;2;;42;550.4;429.3;;1;1;0.193;NA;;
90;1;8;1;;42;1783.5;1214.7;;1;1;0.677;NA;;
90;1;8;2;;42;1901.5;1373.2;;1;1;0.677;NA;;
90;1;9;1;;42;28.6;3.2;;1;1;0.298;NA;;
90;1;9;2;;42;29.4;3.8;;1;1;0.298;NA;;
90;1;10;1;;42;105.4;42.3;;1;1;0.926;NA;;
90;1;10;2;;42;104.6;37.7;;1;1;0.926;NA;;
90;1;11;1;;42;192.4;41.4;;1;1;0.34;NA;;
90;1;11;2;;42;184.1;37.9;;1;1;0.34;NA;;
90;1;12;1;;42;162.4;94.2;;1;1;0.915;NA;;
90;1;12;2;;42;160.5;66.2;;1;1;0.915;NA;;
90;1;13;1;;42;114.8;42.9;;1;1;0.796;NA;;
90;1;13;2;;42;112.5;38.3;;1;1;0.796;NA;;
90;1;14;1;;42;43;7.8;;1;1;0.708;NA;;
90;1;14;2;;42;42.2;11.4;;1;1;0.708;NA;;
91;1;1;1;;16;29.37;7.26;;2;2;>0.05;18;;
91;1;1;2;;15;26;5.7;;2;2;>0.05;18;;
91;1;2;1;;16;5;0.89;;2;2;>0.05;1;;
91;1;2;2;;15;4.67;0.49;;2;2;>0.05;1;;
91;1;3;1;;16;8.31;6.88;;2;2;>0.05;NA;;
91;1;3;2;;15;9.87;5.05;;2;2;>0.05;NA;;
91;1;4;1;;16;10.81;6.94;;2;2;>0.05;NA;;
91;1;4;2;;15;13;6.12;;2;2;>0.05;NA;;
91;1;5;1;;16;26.69;8.52;;2;2;>0.05;NA;;
91;1;5;2;;15;26.4;10.88;;2;2;>0.05;NA;;
91;1;6;1;;16;11.88;8.07;;2;2;>0.05;NA;;
91;1;6;2;;15;14.13;6.46;;2;2;>0.05;NA;;
91;1;7;1;;16;6.19;7.17;;2;2;>0.05;NA;;
91;1;7;2;;15;6.93;4.1;;2;2;>0.05;NA;;
92;1;1;1;;85;22.81;8.31;;2;2;0.96;21;;
92;1;1;2;;84;23.49;7.47;;2;2;0.96;21;;
92;1;1;3;;85;23.14;7.79;;2;2;0.96;21;;
92;1;1;4;;85;23.35;7.44;;2;2;0.96;21;;
92;1;2;1;;85;18.39;11.69;;2;2;0.64;NA;;
92;1;2;2;;84;16.27;9.16;;2;2;0.64;NA;;
92;1;2;3;;85;16.9;9.57;;2;2;0.64;NA;;
92;1;2;4;;85;17.12;10.23;;2;2;0.64;NA;;
92;1;3;1;;85;19.92;15.89;;2;2;0.88;25;;
92;1;3;2;;84;18.67;13.78;;2;2;0.88;25;;
92;1;3;3;;85;19.59;14.46;;2;2;0.88;25;;
92;1;3;4;;85;20.6;14.78;;2;2;0.88;25;;
95;1;1;1;;29;6.59;2.15;;2;2;;11;;
95;1;1;2;;28;6.79;2.33;;2;2;;11;;
95;1;1;3;;28;7.68;1.72;;2;2;;11;;
95;1;2;1;;29;1.84;0.46;;2;2;;4;;
95;1;2;2;;28;1.91;0.44;;2;2;;4;;
95;1;2;3;;28;2.13;0.46;;2;2;;4;;
95;1;3;1;;29;5.03;1.92;;2;2;;11;;
95;1;3;2;;28;5.32;2.2;;2;2;;11;;
95;1;3;3;;28;6.54;1.32;;2;2;;11;;
95;1;4;1;;29;5.9;1.5;;2;2;;4;;
95;1;4;2;;28;5.78;2.21;;2;2;;4;;
95;1;4;3;;28;6.34;1.34;;2;2;;4;;
95;1;5;1;;29;1.93;1.41;;2;2;;3;;
95;1;5;2;;28;1.87;1.33;;2;2;;3;;
95;1;5;3;;28;2.06;1.48;;2;2;;3;;
119;1;1;1;;20;30.5;7.98;;2;2;;1;;
